,state,cycle,name,bonica.rid,district,party_fixed
1,AZ,2014,gneitingkellyleo,cand68976969,7,328
2,AZ,2014,crandallrichard,cand68976918,16,200
3,CT,2014,ritter2012,cand69018748,1,100
4,CT,2014,ritter2014,cand69019533,1,100
5,CT,2014,eldridgeernest,cand69018187,49,328
6,CT,2014,albertsmike,cand30998,50,200
7,CT,2014,field2014,cand69019127,53,100
8,CT,2014,zoniforstaterepresentative,cand30680,81,200
9,CT,2014,santiagoforstaterepresentative,cand31090,84,100
10,CT,2014,bradleyforbridgeport,cand69018359,128,100
11,CT,2014,reelectrepresentativeayala2014,cand123400,128,100
12,CT,2016,matthewsvernonr,cand69019547,72,200
13,CT,2014,doyleforstatesenate,cand123486,9,100
14,ME,2014,thompsonbarbraj,cand68967552,12,328
15,ME,2014,campbelljamesj,cand127233,21,328
16,ME,2014,chipmanbenjaminm,cand68344,40,328
17,ME,2014,tardifgerardr,cand68967640,57,328
18,ME,2014,cayermarka,cand68967646,61,328
19,ME,2014,michaeljohnm,cand47173,62,328
20,ME,2014,coombswilliamh,cand68967624,89,328
21,ME,2014,evangelosjeffrey,cand69165,91,328
22,ME,2014,casasowend,cand68967429,94,328
23,ME,2014,sukeforthgarye,cand69708,95,328
24,ME,2014,neilschristianw,cand68967645,95,328
25,ME,2014,brooksjosephe,cand68047,98,328
26,ME,2014,brightdavidl,cand68967613,100,328
27,ME,2014,burkedavidd,cand68999,146,328
28,ME,2014,wardgregorya,cand68967643,148,328
29,ME,2016,lauzonmatthew,cand68968043,12,328
30,ME,2016,johnstonjacobc,cand125493,14,328
31,ME,2016,risemanwaltern,cand68967957,69,328
32,ME,2016,ackleykentf,cand68967967,82,328
33,ME,2016,wolfwendyj,cand68967935,89,328
34,ME,2016,casasowend,cand68967429,94,328
35,ME,2016,pelletiermichael,cand69021527,107,328
36,ME,2016,turcottemichael,cand69738,125,328
37,ME,2014,davidhiattjohn,cand68967525,9,200
38,ME,2014,quintalgarya,cand69595,14,328
39,ME,2014,richardsenatorwoodbury,cand68967386,25,328
40,ME,2014,burnsrichardj,cand68813,34,100
41,ME,2016,marbledennisr,cand68967841,10,328
42,ME,2016,pietroskijosephj,cand68967986,14,328
43,ME,2016,macauslanmartha,cand68967965,29,328